Intended_uni_entry_year,Region,Max_travel_distance,Willing_to_relocate_flag,Number_gcse_grade4,Gcse_grade4_english_flag,Gcse_grade4_maths_flag,Interested_in_agricultute_flag,Interested_in_arts_flag,Interested_in_business_flag,Interested_in_construction_flag,Interested_in_education_flag,Interested_in_engineering_flag,Interested_in_health_flag,Interested_in_history_flag,Interested_in_hr_flag,Interested_in_information_flag,Interested_in_languages_flag,Interested_in_leisure_flag,Interested_in_retail_flag,Interested_in_scimaths_flag,Interested_in_services_flag,Interested_in_socsci_flag,Interested_in_transport_flag,Desired_level2_flag,Desired_level3_flag,Desired_level4_to_7_flag,Desired_level6_to_7_flag,Students
2023,!!! OTHER !!!,0_10_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
2023,!!! OTHER !!!,0_10_miles,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0
2023,!!! OTHER !!!,0_10_miles,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2023,!!! OTHER !!!,0_10_miles,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2023,!!! OTHER !!!,0_10_miles,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2023,!!! OTHER !!!,0_10_miles,0,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,6,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,7,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2023,!!! OTHER !!!,0_10_miles,0,8,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,!!! OTHER !!!,0_10_miles,0,8,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2023,!!! OTHER !!!,0_10_miles,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,!!! OTHER !!!,0_10_miles,0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,9,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0
2023,!!! OTHER !!!,0_10_miles,0,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023,!!! OTHER !!!,0_10_miles,0,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2023,!!! OTHER !!!,0_10_miles,0,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,0,15,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
2023,!!! OTHER !!!,0_10_miles,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
2023,!!! OTHER !!!,0_10_miles,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,!!! OTHER !!!,0_10_miles,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2023,!!! OTHER !!!,0_10_miles,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,3,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2023,!!! OTHER !!!,0_10_miles,1,7,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,8,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2023,!!! OTHER !!!,0_10_miles,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,9,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023,!!! OTHER !!!,0_10_miles,1,12,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
2023,!!! OTHER !!!,0_10_miles,1,20,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,1,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0
2023,!!! OTHER !!!,0_1_miles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
